Weight Lifted (Kg),Lean Mass,Body Surface Area,Body Volume,Torso Volume,Vol_Arm,IMTP_Force at 150ms [N] ,IMTP_Force at 200ms [N] ,HABD_Plus_HADD,Grip_Strength_Kg,SJ_Concentric Impulse [N s],SJ_Concentric Mean Force [N],SJ_Concentric Mean Power [W],LSJ_Concentric Impulse [N s],LSJ_Concentric Mean Force [N],LSJ_Concentric Mean Power [W],LSJ_Concentric Mean Velocity [m/s],LSJ_Concentric Peak Velocity [m/s],LSJ_Flight Time [ms],LSJ_P1 Concentric Impulse [N s],LSJ_Peak Power [W],LSJ_Velocity at Peak Power [m/s],LSJ_Vertical Velocity at Takeoff [m/s],CMJ_Concentric Impulse [N s],CMJ_Concentric Mean Force [N],CMJ_Concentric Mean Power [W],CMJ_Concentric Peak Force [N],CMJ_Eccentric Mean Force [N],CMJ_Eccentric Mean Power [W],CMJ_P1 Concentric Impulse [N s],CMJ_Takeoff Peak Force [N],LCMJ_Concentric Impulse [N s],LCMJ_Concentric Mean Power [W],LCMJ_Eccentric Mean Force [N],LCMJ_Eccentric Mean Power [W],LCMJ_P1 Concentric Impulse [N s],Sex,Height (m),Weight (kg),BMI,Avg_Bicep,Avg_Calf,Avg_Mid_Thigh,Avg_Forearm,Chest,Hip,Neck,Waist (Abdominal),Waist (Narrowest),IMTP_Peak Vertical Force [N] ,IMTP_Peak Vertical Force / BM [N/kg] ,PU_Peak Vertical Force / BM [N/kg] ,PU_Peak Vertical Force [N] ,Combined_Left_Right_HABD,Combined_Left_Right_HADD,SJ_Jump Height (Flight Time) [cm],LSJ_Jump Height (Flight Time) [cm],CMJ_Jump Height (Imp-Mom) [cm],LCMJ_Jump Height (Imp-Mom) [cm],Level,Est_VO2Max,Peak_HR,HR_Beats_Drop_60s,NBA_Peak Drop Landing Force [N] ,NBA_Time to Stabilisation [s] ,NBA_PF/BW_N,BA_Peak Drop Landing Force [N] ,BA_Time to Stabilisation [s] ,BA_PF/BW_N,Age (Years),SA_Arm,SA_Leg
47,6982.82129890396,9133.077344636411,8744.04332086607,6864.228351600171,345.25169340594016,3326.2838344055876,6854.808671061737,1305.6871711662923,1309.5005096198313,8706.765430201795,6295.818371518504,8291.071876397147,6486.675740213325,8628.109570363387,9637.86056044508,221.32328578583417,3509.1070230362398,2457.794515653808,1213.0998417814164,7166.926792529064,967.1226457908382,3299.3473922731328,3793.7693279894534,2638.4622024009063,7712.401209022467,7431.795050787995,3246.3617597313246,312.90552548425956,3869.9123273535965,1435.6418658854889,6180.167978928156,385.5019064787872,1901.286952057424,1116.222346292596,1209.9162704140292,6823.714043438814,4673.551500794769,1948.949765784199,432.18448393981214,367.74390448144146,5491.0305268216725,4431.838569808159,7369.294234322188,2947.984435498418,8675.650128798954,132.40759978918697,5681.338256060022,8390.371929307299,8704.771760697768,1266.5912209896844,4637.91596361229,6518.225805483118,7772.379153429719,4970.899873534755,8882.22973915449,2428.5077884353595,7351.035901454654,751.7895021562236,8972.615153876854,4299.619387176934,7689.680499675718,490.0786837750618,8687.624015999814,9320.00033727531,8241.410864396306,2799.0612854013193,7212.871946712897,2517.9265612823497,8451.083371420234,2941.035612219726,3024.137549539476
53,3663.814885203647,9053.396364820166,5588.199808682923,1486.3848475659147,1595.1830116749384,3531.6872309258347,4885.410112945301,8726.612937617838,5313.499504542102,1314.1256427184614,8990.247205812484,6082.023198552703,1017.886053995422,8827.948137262041,2173.143422596951,6857.828943972754,9916.706380908161,866.2633609427455,5926.055740254488,4545.638808748355,8502.060360209514,8897.254644947658,6082.738442326432,8967.073210984783,75.6976536937749,1759.126773487633,2351.1531606559583,4713.8162188142,2606.2363080638866,4365.275411545705,701.6182906201176,8897.184340453066,7325.297982570356,9863.61084863986,5740.251097004391,5905.14930824584,8021.40416301625,7003.942244984535,7123.457979503913,1889.665754163504,798.1527242839481,4907.513803762207,9957.045121109359,1519.7893434319797,6337.612474952102,1679.440066486717,9185.54473053449,7097.161397538051,9824.900546716619,750.3455085732169,7224.321719911037,6861.2646346391075,9279.240344132786,9778.742022147166,1591.8446516276156,5599.554430840781,2668.3978118981736,8378.723998931744,2056.648550839861,4350.964606969969,7096.077348682284,614.8540010473388,9347.758159139092,4431.617789652908,5504.320502786229,1560.10658600414,4022.0138112813966,2126.7016241795563,7833.532149090707,4689.309177166354,3613.0428277098213
9,8579.342357952535,6719.339952789398,9082.649481787104,9945.803964187164,85.14107315736845,5853.11163388848,4303.583401883236,3793.7854955368853,7029.51738415693,6982.571673313094,3973.009260523074,2704.764633784749,6233.609380060206,8755.040424018813,8330.493532017128,5861.81990360299,237.88215036175134,752.3737757473943,6651.179892009505,2077.194293499962,5435.529919091222,8843.985402574766,8996.516581780748,7478.5370465331325,3109.1165254473462,9874.874960267956,3580.6101892777397,3736.5607035818302,4018.6548903287144,8147.217327247003,3518.5473002409863,5043.76288784886,2980.7836666936373,997.0685947165173,9436.747325711665,7732.944266164827,3914.287413644585,4856.323567100489,700.6688669121977,8163.166566417374,6911.309080116923,7945.178475777036,1638.8800938531285,2702.3001586284613,7047.640520953471,4282.11159539016,4377.343113004935,2476.0471287666646,3354.4029073175257,4622.855228579004,4785.613141650621,6143.579758381749,2223.2783236656105,2627.153604169516,9562.163339861358,1356.6904791667803,6313.742323663,2923.7026675134193,2545.0336762463407,2993.3344633398788,6049.674585918398,302.8391770183749,8996.178794081348,4031.4170714601064,5189.534010955685,15.6736891435909,5281.194329426689,4459.049068882769,1812.7048675578567,2391.977251639744,7012.142657917829
13,5039.056613502582,9715.37853323358,9817.645652818665,465.0014579868616,3166.8076368409183,6515.631050473003,6056.1379520224555,3139.955285364273,2308.093784698815,2738.944843431171,6384.076133124196,6310.745154322474,3724.083270990273,2047.3130443931666,4637.612307334976,4765.7745591290295,5255.860939072382,9561.912667749633,4021.331025266941,9154.806253767252,9443.409466234432,5620.728646739851,2090.5728190483346,6814.732714949627,7303.5560131543225,8165.973145331105,2968.5572349840204,2431.353340833195,2110.50403854888,6639.736574900743,4541.72378588258,9168.4944015352,3365.3629321187173,9349.373582494027,3593.8244004548296,6523.3083182067285,3565.748140497882,9089.658766228029,7698.871964315296,6429.563929145927,5831.04776449542,7516.844525992116,3722.2048680128664,2151.982042405865,5024.980341912179,4006.321681482761,2151.6366249279013,1458.3293476729107,2214.990212564073,5943.129542300474,9743.398751675264,114.67720275835624,1316.3401062604835,8023.870749457482,3097.8600407056024,7839.118470666156,9965.110507089845,2556.792384870601,4125.048408515044,8447.206647772326,982.7447895765322,264.6235345990625,9427.853361994565,9681.806328130939,2560.5919382556413,8262.587062267346,4861.661739952822,4214.912080360806,8706.758083421473,2839.3293760727183,5609.629377899009
1,515.912126859054,7324.559435927649,7141.4244027623245,1219.2593905889323,5384.374058255464,7255.759245109947,8839.23504045821,6981.642583446401,8526.306135151934,9020.742755575342,409.31822964011866,7410.482536016764,1946.856856962742,6753.959184672065,3692.8953102393293,5431.797346866454,5052.3699318517765,5552.925566233157,3099.930983577082,4502.803436007907,6077.541375017764,3037.925837162455,6249.652150844431,3151.849375479973,2104.6567960133248,2373.0429625418965,4927.300688528262,3929.778801742008,3532.9161559242457,65.33339907869204,9293.239605514074,3207.3827452156274,3747.2198611858835,395.7619099096531,1369.6681678769844,5808.116305806227,309.0230311090339,6618.045604528734,5522.494166551346,6908.6420611480535,1895.592627282432,2407.7829501609795,5913.233658670904,4968.136914218011,8227.928929313644,6554.8029187181355,9689.912389711984,1312.1564787662364,7222.081132843352,222.88513857181044,3815.6725904208706,3720.896432231332,7716.383180389617,2772.5623338363007,6049.888883219354,6106.852087904255,5515.577166787739,4260.633768216127,4320.1623227291,6305.762923554721,9228.040740938211,7766.323672759995,9674.8844172315,8311.795819010333,8679.315877829089,1006.0828198346622,1358.8550161642868,2376.225381338289,3706.986332461786,9537.911877052626,1801.8592679015171
54,2212.7910791942763,847.1710999353079,9819.28948587918,2271.03668984102,9817.11443570029,4921.732688929635,7992.023938046421,9393.629893402536,8255.7794358043,9815.005853507646,1670.5325457784438,2870.810295894434,4657.7937578245155,3301.7038922965594,1721.5348142399264,1800.2706243699313,3582.6982689026595,6600.894368019159,7085.920085099042,5445.641575073813,1467.9200016793984,1680.4998110634715,6187.078214023986,2477.2581860963446,9777.732669275076,500.3429275278937,2995.1975413359387,5007.981137386811,6124.817052592174,366.59424614107706,301.56350331107683,3588.615431101119,1268.8050759917528,191.7384876388261,17.871440116764013,2399.2305947923146,3386.723713822004,7298.267119293327,8750.386617213455,7449.763046820032,8449.483722672223,3119.5603241932336,2469.375908584369,6538.618466757087,761.382930350763,1631.299554483696,194.61865706678248,6259.900738371853,5230.887588828458,1928.5205129770727,8338.586730022587,3359.712586685333,7743.105798934197,6184.552743168048,3348.864425118482,2752.0466945106223,4581.7560625270135,8415.128401706845,358.3586240894933,6239.460294862587,5436.2217980114865,2006.6175155299725,6949.5040664093485,5562.534825719995,5149.152504131726,7629.474779677782,9536.707116208603,3074.3683791832345,2680.2907215795785,7516.854745819163,1139.992968187286
10,1935.3810054191947,6165.877117457579,7789.673683971885,6598.591516590043,5501.769641618682,2605.3906005672393,2361.4892862160577,2048.845107765037,7256.976021865001,1233.7372650674877,9662.515994856929,2997.0655350732877,3447.6338978484036,1009.6385538365644,3908.873537304675,1658.7242375057467,5716.435849446452,887.5893971459838,1482.8211907338875,1329.8153181767082,1297.8121293995512,9263.033454056987,5591.589319698207,6491.194441120062,5216.595196147693,5622.913180634054,9920.303834903263,1175.0027456203977,6388.741993055409,27.098366053160955,736.7110635429121,3828.3467374730485,5574.869296821695,5710.249725617869,6824.9079289972915,1056.8876771443518,7495.720484212181,7529.942430938559,2123.2649981227646,4770.709994956376,33.430160878017475,9373.99422775944,8153.014223409093,8934.870724818145,3778.621985094,9498.573842727423,9049.514500428944,5256.9362134292,1587.3422811736734,6720.426736170785,9762.098979882318,7844.465455893222,4115.995331125273,4000.6469442104276,8829.999428671144,6993.232657640525,6208.685946591047,2497.993510313964,8006.5570366966585,5135.675649356297,2320.3843066066024,2444.3805941741543,9538.600484765579,3642.3034406456213,9366.484751939513,3511.635970245552,7414.745182599701,5634.137726771023,7225.580386880698,765.3939774595361,5066.865209886558
44,1329.2695001158643,6306.2519407434875,4932.13750562031,7440.410738093443,1800.5388568235915,6387.2212001022135,1883.5229451569667,4153.810897522956,8151.968052059033,9198.087300347239,1711.325040120223,5908.6731032355365,722.9650912149688,9556.40919647217,9388.522238923213,8540.909898124186,3007.5829237945336,26.564221371144438,758.5348133900616,8388.631831105407,5290.746410036677,5052.67157785179,4373.1306952271125,5239.706206512185,7975.211364185613,3124.358148320643,5286.789314714231,3036.0655785181943,6432.9103161157755,7136.404166061822,4704.16809880444,7908.990922114949,6212.097508590061,7372.9496032532425,251.6799214603158,2125.3958489251013,3052.536518845128,6984.595886876169,1428.3550030528604,686.5458023789269,2039.9500735027545,2955.7621600498373,8881.822041440471,8012.4115106440895,59.86632709299692,9366.82461784375,2273.8788281154034,8508.175240305929,2238.4081020494914,9086.986191857963,5028.468268298758,4703.508747366715,9572.895281433586,6116.4022413838875,593.8741103248262,753.5193142697036,3165.104192026675,8368.370481745247,1207.9119508354927,7140.547833522266,2496.3331084427114,6441.833973334206,8660.257996276976,7094.447483629859,9684.820133158915,6204.319129401435,9897.99366653276,2022.6963533055887,4453.27678691672,7543.382439925379,8739.91914973897
44,1800.6805265255246,3999.116249780445,7889.889337514555,6667.65694409367,3465.3378756967177,3681.6650114912877,9345.374277114248,4599.0975467306025,5783.524727576808,7303.609662157477,9418.318425001598,3505.7214489159724,7000.777432447333,7642.704920669219,5957.207941094089,780.2456208974909,2240.6080742538234,8612.117148856934,2761.9641218256033,1011.2424821568102,4874.8614431059195,2195.238555050167,3139.670407805712,5978.947821879161,2339.8275965067123,4815.073381865172,9916.388219613156,4655.921609147067,5248.468362904625,7891.767581325024,8624.106686430323,4832.633572438508,6903.76201919147,8630.624363261393,5947.0370440632705,2201.931369215867,6144.666345368508,1080.5570430966195,2771.898212749816,8767.83750341752,7805.04913207344,1621.7886471168456,7857.515195142684,4648.245870563628,1934.6476718737733,7602.255591751213,3990.7478938361505,395.2234735539905,1563.7000158369274,7007.333852450125,7198.490135910496,7183.878091534153,2809.5760517055674,7014.799863634105,9416.306510314287,591.4451168489137,5964.610717842067,2328.3196435406167,9451.25275150459,1596.2658154179521,4840.884588075232,2221.2809740989487,7159.292473347748,7236.651268459127,2272.964327131544,3958.455540548643,6976.301829958253,342.4169346394017,2251.492803001734,2140.8513551976266,5465.718189234444
19,8998.482797314804,7957.831076176714,867.1738583342336,3233.3294817047354,1895.762783047564,9526.273525852077,6817.754092969881,2081.2916220062025,5724.022668516111,5270.344896128032,1232.6389067200703,2359.5046812806463,1311.3592963240158,7707.864120478332,2828.5302584011815,8129.089509810682,9825.694524658526,2607.8707844970095,1248.7439607231252,1377.4917557446129,1749.3940544382967,3849.3796088654053,1472.5693566184384,6038.671225688656,1728.5751324743753,6117.324403674091,6945.14814176175,4721.542344126331,933.9542528902465,3413.184685910314,2620.3532494502965,5927.394063852015,2625.8786786029173,1565.3592570992346,4274.025007098266,1194.5922505672966,7636.303186767415,8997.105782471104,4302.516962707789,8616.274349359306,671.9980890901026,7645.723347421572,7079.870157379914,3840.048738563395,9058.236879364425,68.50999758326289,3619.1084769517834,6983.404562757342,3862.370343343058,1291.440466356604,625.1252821621988,7593.635983029372,3244.9181545591173,4050.0746066917295,6409.120101896997,995.0298145442705,3863.9583976664444,9736.826606531362,9688.960722013488,9959.516104440552,5835.916897302299,5745.332559365701,2333.1512322680505,5882.9994721693265,4154.501241361472,8553.694950275289,7952.074280991037,3031.7866274286257,1912.063768777802,2439.758690823255,3781.0146113138044
