Weight Lifted (Kg),IMTP_Peak Vertical Force [N] ,LCMJ_Concentric Impulse [N s],PU_Peak Vertical Force [N] ,Avg_Forearm,Avg_Bicep,CMJ_Concentric Impulse [N s],Combined_Left_Right_HABD,SJ_Concentric Mean Power [W],SJ_Concentric Impulse [N s],SJ_Peak Power [W],LCMJ_Velocity at Peak Power [m/s],Sex,LSJ_Flight Time [ms],LCMJ_Concentric Peak Velocity [m/s],LCMJ_Peak Power [W]
3,9281.251240013891,1411.0802293429026,7000.634102534341,1043.2689479269072,8101.735605066433,1555.170126384762,1158.10699300789,1314.1515284175857,1098.1829332133375,3817.0927729890627,3825.3143802726527,9403.00718477346,4191.968889717499,2780.7661990795814,4063.023779206898
35,1253.0859806855085,7968.95369602301,6538.389922345281,4435.740387236824,1370.140590618293,5193.05873092428,7296.254350516431,5661.397388635183,144.0297246089861,7969.054475454357,1691.3634924193752,9182.378806026107,6315.520037733427,1578.537707482143,5640.9079185213095
36,5212.030281829369,6514.40004810238,7086.1786613230925,8177.456032232051,2072.8065751545428,2316.7127253544672,5461.311201371193,9221.362967069354,8183.0177257991645,3741.8153387138304,1929.4412467738907,5696.167053669684,5065.579656439234,8450.336556991779,27.023827735388682
6,7132.29218107858,9373.16517686541,3454.047986158897,5131.714172685282,2139.966646759024,5548.638505288085,1209.7494305189778,1274.6772876305702,4755.140451722088,5248.8367562787635,9534.605030699993,2525.6204697320177,7461.2944242358935,9574.204336632502,5430.160705667506
31,8065.381615953707,6251.739890688043,8024.440124438685,3373.7576769410866,8396.697079627944,5319.598398901756,5956.0251952891995,8504.376882844677,8510.604872285297,4921.853167139671,4854.120808394768,8325.996294366605,4188.778381329907,5442.958386383271,8789.414656460747
25,1498.51991108366,2720.747232130819,4846.828672139188,931.5310994515223,7630.2476533581585,1704.797947478547,8574.97228225527,3589.3513044994975,7673.689916891832,4560.907962909011,4584.924376989226,1237.553079032948,5722.091487213244,4465.063095689878,6460.159154912186
2,814.078405305642,9618.370799759741,7105.273214548642,4773.426664001197,9.16976467190675,663.0880600694096,6494.636722261163,6865.620202852268,5717.868867505736,6808.604483273463,9816.538350758405,1592.6152306231716,1318.0214561130642,1481.5879129537288,4345.366401142322
21,654.4294741020724,7757.09087854274,1420.975226398174,8304.27739423879,5389.88821035364,1268.4434968116561,4468.379317407385,798.9586327788868,502.22421850655275,9346.103884370496,4600.363455561383,126.03462954475312,7004.85994031962,4237.844388873834,6187.3794682269145
49,8289.424095976914,3547.1143214613403,5702.547541009106,6678.870742251851,1161.1008905618896,1199.3654676670478,4323.875799641034,3916.9646781194892,1779.036396727956,2051.10719992549,7929.89754200898,8788.376250535186,1990.8739931301159,6038.331088373027,446.3088843123484
51,561.3171293738978,8243.158435046636,7470.064742480313,4299.4621713121,3872.2925831715265,229.04188263424808,1294.8731271199074,2517.4102407270975,202.03072088381265,5066.694757545648,887.7280940803574,3949.8355704094256,4232.788264484186,9885.114476125153,4458.969967838912
